(-2.7, -1.51, -0.62)
(-2.8000000000000003, -0.63, -0.7000000000000001)
(-2.44, 0.75, -1.71)
(-1.92, 1.73, -1.49)
(-1.6600000000000001, 2.2600000000000002, -0.43)
(-1.22, 2.36, -0.59)
(-0.37, 2.64, -0.35000000000000003)
(-0.45, 2.06, -1.18)
(0.27, 2.7800000000000002, 0.8300000000000001)
(0.88, 1.9000000000000001, 1.93)
(1.23, 1.8800000000000001, -0.45)
(0.71, 0.34, -0.53)
(0.8300000000000001, -0.6900000000000001, 0.5700000000000001)
(0.65, -0.55, 0.92)
(0.41000000000000003, -1.26, -0.55)
(-0.29, -1.6300000000000001, 0.08)
(-0.32, -1.17, 0.01)
(-0.27, -0.62, -0.23)
(-0.12, 0.0, 0.45)
(-0.16, 0.13, 0.0)
(-0.1, 0.1, -0.85)
(-0.1, -0.08, -0.73)
(-0.12, -0.31, -0.48)
(-0.06, -0.17, -0.07)
(-0.1, -0.03, 0.15)
(-0.07, 0.0, -0.08)
(-0.15, -0.03, -0.27)
(-0.1, -0.16, -0.51)
(-0.12, -0.12, -0.3)
(-0.12, -0.17, -0.33)
(-0.16, -0.04, -0.37)
(-0.08, 0.0, -0.43)
(-0.09, 0.04, -0.22)
(-0.17, -0.17, -0.13)
(-0.08, 0.0, -1.02)
(-0.16, -0.07, -0.36)
(0.03, -0.16, -0.23)
(0.27, -0.08, -0.6)
(0.6, 0.06, -0.17)
(1.54, -0.26, 0.4)
(2.18, -0.33, 1.1300000000000001)
(1.9000000000000001, -0.23, 0.26)
(0.78, -0.19, -0.54)
(-0.02, 0.1, -0.36)
(-1.55, 0.11, -0.7000000000000001)
(-2.11, 0.15, -0.45)
(-2.43, -0.84, 0.05)
(-2.48, 0.07, 0.03)
(-3.02, 0.51, 1.09)
(-2.71, -0.31, -0.9500000000000001)
(-2.91, -0.38, -2.32)
(-1.99, -0.81, -1.06)
(-0.8200000000000001, -0.41000000000000003, -1.33)
(0.43, -0.63, -1.35)
(1.57, -0.66, -1.4000000000000001)
(2.14, 1.2, 0.38)
(1.97, 0.84, 1.22)
(1.46, -0.55, -0.45)
(0.16, -0.15, -0.84)
(-0.31, 0.27, 0.28)
(-0.37, -0.03, -0.1)
(-0.11, -0.07, 0.02)
(-0.32, -0.28, -0.09)
(-0.26, -0.31, -0.39)
(-0.15, -0.19, -0.86)
(-0.21, -0.09, -0.04)
(-0.21, -0.07, -0.54)
(-0.16, 0.01, -0.62)
(-0.2, -0.3, 0.27)
(-0.16, -0.22, -0.3)
(-0.3, -0.11, -0.17)
(-0.17, 0.01, -0.63)
(-0.17, -0.09, -0.56)
(-0.25, -0.04, -0.23)
(-0.19, -0.01, -0.23)
(-0.15, -0.13, -0.06)
(-0.22, -0.2, -0.31)
(-0.12, -0.02, -0.29)
(-0.21, -0.08, -0.17)
(-0.13, 0.15, -0.28)
(-0.09, 0.22, -0.49)
(-0.21, 0.03, -0.54)
(-0.19, -0.07, -0.39)
(-0.22, -0.48, -0.49)
(-0.17, -0.86, -0.27)
(0.08, -1.21, -0.87)
(0.29, -1.74, -1.04)
(0.28, -1.4000000000000001, 0.31)
(0.84, -1.56, 1.68)
(1.28, 0.15, 0.13)
(1.27, 2.0, -0.52)
(0.51, 3.06, 0.51)
(-0.44, 3.5700000000000003, -2.58)
(-1.34, 2.06, 0.63)
(-1.8, 2.84, 0.78)
(-2.31, 2.63, -1.5)
(-2.48, 2.0300000000000002, -1.58)
(-2.85, 0.93, -0.6900000000000001)
(-2.44, -0.44, -1.17)
(-2.62, -0.61, 0.27)
(-2.38, -1.18, 0.26)
(-2.32, -1.78, -1.22)
(-1.86, -2.79, -0.78)
(-0.72, -2.5500000000000003, -1.32)
(0.06, -2.31, -0.5700000000000001)
(1.37, -3.66, 1.67)
(1.1, -0.97, 3.08)
(0.75, 0.81, 1.26)
(0.6, 1.49, -0.29)
(0.43, 2.56, 0.08)
(0.08, 1.57, -0.6)
(-0.01, 0.52, -1.07)
(-0.11, 0.15, 0.38)
(0.0, -0.4, -0.31)
(-0.05, -0.07, -0.67)
(-0.02, 0.08, -0.43)
(-0.02, -0.05, -0.27)
(-0.04, -0.16, -0.32)
(-0.06, -0.22, -0.31)
(-0.02, 0.02, -0.31)
(-0.03, -0.11, 0.0)
(-0.02, -0.11, -0.3)
(-0.04, -0.09, -0.6900000000000001)
(-0.07, -0.11, -0.34)
(-0.06, -0.23, -0.51)
(-0.05, -0.13, -0.54)
(-0.04, -0.19, -0.23)
(-0.06, -0.16, -0.31)
(-0.04, 0.0, -0.08)
(0.02, -0.04, -0.49)
(0.28, -0.07, -0.66)
(0.8300000000000001, 0.1, -0.6)
(1.74, 0.27, 0.63)
(1.8800000000000001, 0.36, 0.66)
(1.62, 0.8300000000000001, 0.34)
(0.91, 0.08, -0.5)
(-0.09, -0.65, -2.2600000000000002)
(-1.6500000000000001, -0.09, -1.32)
(-1.84, 0.64, -0.89)
(-2.49, -0.38, 0.27)
(-2.12, 0.07, -0.58)
(-2.4, -0.07, 0.1)
(-1.82, -0.2, 0.1)
(-2.39, -0.2, 0.19)
(-2.2600000000000002, -0.5, 0.05)
(-1.27, -0.52, -1.42)
(-0.41000000000000003, -0.92, -1.1)
(0.81, -0.4, -1.73)
(1.76, -0.11, -1.57)
(2.16, -0.31, -0.48)
(2.0100000000000002, -0.3, 1.98)
(0.9500000000000001, 0.45, -1.36)
(-0.01, -0.01, -1.11)
(-0.27, -0.17, -1.06)
(-0.02, -0.12, 0.06)
(0.03, -0.11, 0.8)
(-0.1, -0.14, -0.54)
(-0.11, -0.14, -0.7000000000000001)
(0.0, -0.1, -0.84)
(-0.08, -0.13, -0.21)
(-0.11, -0.2, 0.15)
(-0.05, -0.19, -0.05)
(-0.09, 0.0, -0.31)
(-0.11, -0.16, -0.72)
(-0.07, -0.03, -0.67)
(-0.15, -0.2, -0.27)
(-0.03, -0.13, -0.71)
(-0.04, -0.08, -0.32)
(-0.08, -0.2, -0.08)
(-0.08, -0.09, -0.08)
(-0.03, -0.03, -0.09)
(-0.1, -0.15, -0.2)
(-0.08, -0.1, -0.55)
(-0.02, -0.07, -0.44)
(-0.06, -0.13, -0.45)
(-0.03, 0.08, -0.92)
(-0.03, 0.0, -0.27)
(0.02, -0.12, -0.58)
(0.5, -0.03, -0.48)
(1.5, 0.12, -0.23)
(2.3000000000000003, -0.19, 1.3900000000000001)
(1.9100000000000001, 0.33, 0.09)
(1.06, -0.72, -1.55)
(0.34, 0.07, -0.09)
(-0.73, 0.08, -0.62)
(-1.97, -0.34, -1.08)
(-2.31, -0.68, 1.34)
(-2.12, -0.14, -0.26)
(-1.76, 0.15, 0.04)
(-1.9100000000000001, 0.07, -0.51)
(-2.27, -0.11, -0.66)
(-2.0300000000000002, -0.32, 0.49)
(-2.02, 0.71, -0.5)
(-0.67, 0.2, -2.34)
(0.75, -0.72, 1.1400000000000001)
(2.17, 0.26, 1.02)
(2.17, -0.24, 0.26)
(1.5, 0.07, -1.33)
(1.1, -0.51, -1.58)
(0.64, -0.31, 0.34)
(0.06, 0.41000000000000003, 0.72)
(0.0, 0.18, -0.96)
(-0.16, -0.1, -0.37)
(-0.13, 0.06, -0.44)
(0.0, -0.14, -0.46)
(-0.1, 0.1, -0.88)
(-0.11, -0.14, -0.46)
(-0.06, -0.09, -0.44)
(-0.06, 0.1, -0.59)
(-0.05, -0.05, -0.26)
(-0.07, -0.14, -0.3)
(-0.05, -0.03, -0.23)
(-0.01, 0.01, 0.02)
(0.0, -0.03, -0.23)
(-0.06, 0.0, -0.41000000000000003)
(0.0, -0.15, 0.21)
(-0.08, -0.2, -0.05)
(-0.08, -0.22, -0.34)
(-0.11, -0.05, 0.03)
(-0.03, 0.1, -0.03)
(-0.13, -0.17, -0.36)
(0.01, -0.23, -0.45)
(0.23, 0.08, -0.73)
(0.88, 0.17, -1.31)
(1.8800000000000001, -0.18, -0.32)
(2.4, 0.29, 1.6300000000000001)
(2.19, 0.32, 1.03)
(1.3800000000000001, 0.08, 0.87)
(0.0, -0.01, -2.81)
(-1.86, -0.06, -1.6)
(-2.38, -0.11, 0.11)
(-2.5500000000000003, -0.35000000000000003, 0.25)
(-2.08, 0.03, -0.65)
(-2.38, 0.25, 0.26)
(-1.96, 0.12, 0.21)
(-2.47, 0.5700000000000001, -0.31)
(-1.44, 0.07, 0.6900000000000001)
(-1.3, -0.49, -1.1400000000000001)
(0.03, -1.12, -1.44)
(1.01, -0.21, -1.5)
(1.12, -0.01, -1.26)
(1.6300000000000001, 0.36, -0.38)
(1.3900000000000001, 0.17, -0.51)
(1.33, 0.07, -0.68)
(0.71, 0.7000000000000001, 0.8)
(0.05, 0.29, -0.47000000000000003)
(-0.17, -0.19, 0.01)
(-0.03, -0.23, 0.58)
(-0.08, -0.27, -1.18)
(-0.27, -0.1, -0.88)
(0.0, -0.05, -0.61)
